birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
14,13,3,73.2,274.9,1,54.2,T44,Gary Christian,41,1.667,+3,2012
13,13,2,51.8,291.3,0,56.9,T52,Tommy Gainey,44,1.756,+4,2012
15,13,3,67.9,275.3,0,52.8,T52,Webb Simpson,41,1.632,+4,2012
14,14,2,62.5,279.9,0,56.9,T52,Charlie Wi,42,1.707,+4,2012
9,11,1,78.6,288.1,0,50,T52,John Daly,51,1.778,+4,2012
15,12,4,66.1,264.8,0,59.7,T56,Hunter Haas,41,1.721,+5,2012
12,15,2,64.3,276.5,1,44.4,T56,James Driscoll,42,1.594,+5,2012
10,10,2,66.1,284.9,1,50,T56,Chez Reavie,48,1.750,+5,2012
11,16,1,64.3,269.4,1,50,T56,Stuart Appleby,43,1.694,+5,2012
12,14,2,57.1,279.3,0,54.2,T60,Shaun Micheel,44,1.769,+6,2012
10,13,0,64.3,284.3,0,59.7,T60,Kyle Stanley,48,1.860,+6,2012
9,13,1,60.7,277.5,0,45.8,T60,Ken Duke,49,1.818,+6,2012
11,15,1,73.2,284.5,0,62.5,T60,Will Claxton,45,1.822,+6,2012
10,15,1,69.6,263.4,0,58.3,T64,Nick O'Hern,46,1.881,+7,2012
10,12,1,82.1,270.4,0,63.9,T64,Joe Durant,48,1.826,+7,2012
10,14,2,71.4,277.9,0,54.2,66,Briny Baird,46,1.821,+8,2012
12,9,6,67.9,278.9,0,62.5,67,Freddie Jacobson,45,1.800,+9,2012
11,13,4,60.7,296.7,0,52.8,68,Sean O'Hair,44,1.816,+10,2012
13,17,4,62.5,285.9,0,48.6,69,Lucas Glover,38,1.714,+12,2012
12,15,5,62.5,274.8,0,50,T70,Rocco Mediate,40,1.833,+13,2012
12,12,5,60.7,286.2,0,55.6,T70,Brian Harman,42,1.750,+13,2012
